,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
MIR548A1HG,79.96207455477607,-0.9277574595140208,0.4103541988103249,-2.2608699075182397,0.023767314058604452,0.8848987717149318
MIR3976HG,3.626284108815473,2.1224313600503706,0.9115726472189878,2.328318391875242,0.019895203407892092,0.8848987717149318
NDRG3,51.982441412894346,0.5339440681573092,0.23558262931054988,2.2664831856233896,0.023421815500961573,0.8848987717149318
MAP1LC3A,19.846455462384537,1.7563009846739577,0.7345936058813782,2.390847089618643,0.016809552125354215,0.8848987717149318
BZW2,18.86547824389369,1.0619484406316109,0.46398030543074115,2.2887791317903883,0.022092188557914307,0.8848987717149318
TYMS,9.725726294848123,1.3559682897630008,0.5552110842975431,2.4422572389356767,0.014595742337212983,0.8848987717149318
BIN1,20.625054471792193,1.4874631092943964,0.5855284872740703,2.5403770126015313,0.011073303132109445,0.8848987717149318
GLRX,23.329680906764303,1.210077856900884,0.5256046687501394,2.3022585773037103,0.0213205943203959,0.8848987717149318
GIT1,7.142355864599245,1.7970100455913482,0.7133898302158446,2.518973455295321,0.011769752938790781,0.8848987717149318
MRPL32,5.5943781254036,1.6216793839511545,0.6534776710747102,2.4816140715016908,0.013078884089129014,0.8848987717149318
NR1D1,36.72967835184755,1.7185981334994218,0.7449960746480973,2.3068552868700825,0.021062888905198637,0.8848987717149318
RAB5IF,3.5954604734525053,2.3476169070491975,0.9401649289602149,2.4970266755701775,0.012523953511218964,0.8848987717149318
GNAS,217.77968068308076,1.0001564241642038,0.4312591932677887,2.3191538633314663,0.020386695065892836,0.8848987717149318
NPVF,21.32487892548304,2.088118639005725,0.8347068537098462,2.501619136976176,0.012362683963191927,0.8848987717149318
NOL4,232.08817853254135,-0.8022452859823153,0.35433002963145405,-2.264118812669497,0.023566808206039125,0.8848987717149318
MBTD1,99.95216381015386,-0.5837863068710528,0.25823232449353983,-2.260701900956855,0.023777722688235484,0.8848987717149318
CNGA1,52.19704733676609,1.3799932174467247,0.5808900289362228,2.3756531334750064,0.01751792181699539,0.8848987717149318
SOX5,683.4436753827409,-0.7316351999294556,0.3049265598590738,-2.399381674943604,0.016422786604829234,0.8848987717149318
MAZ,11.780546245479945,2.0259517364684587,0.8358218996761003,2.4239036297727545,0.015354679525022992,0.8848987717149318
RAX2,9.491742974368664,2.2428175656648532,0.9585321170501351,2.3398460268259793,0.019291691443195785,0.8848987717149318
DYNLL1,21.55535087171927,1.644221605857105,0.6977197945423883,2.356564366839408,0.018444870734999178,0.8848987717149318
